titration_index,Titrant Mass,sample type,file_not_good,date,bottle nr,acid_added_mL,waiting time (minutes),Titration duration (seconds),Titrant Molinity,acid_increment_mL,reference_DIC,calculated_DIC,Alkalinity,slope,intercept,r_squared,plateau_C_percent,spread_C_percent
68,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,08/10/2025,7,4.2,15.5,692.0,0.10064399,0.15,2221.961522611302,1028.250110167363,2314.111718421763,-43.13854837209221,100.43144376952775,0.9999142645586666,0.6726484085420547,0.0005190912740927592
69,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,09/10/2025,1,4.2,0.5,686.0,0.10064399,0.15,2228.224341512229,1618.874061639874,2311.772779227419,-43.18506343151097,100.42482362558353,0.9999171794480703,0.6805944005753519,0.0005165219766815882
70,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,09/10/2025,2,4.2,20.0,672.0,0.10064399,0.15,2228.224341512229,916.10764003575,2316.789161777305,-43.08758434602323,100.42889987879882,0.9999150971195189,0.6733731022305383,0.000522642500366157
84,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,13/10/2025,1,4.2,0.0,694.0,0.10064399,0.15,2248.341257435262,1664.833751345548,2308.938422362449,-43.24204648539657,100.4290091931552,0.9999157124031014,0.6784645006040824,0.0005125681005362074
100,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,,15/10/2025,1,4.2,0.5,,0.10064399,0.15,2226.354221280068,1659.191118674499,2320.040526355777,-43.01756658961086,100.42747550437512,0.9999153846247073,0.6723859107204537,0.0005274640287499744
125,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,17/10/2025,1,4.2,0.5,,0.10064399,0.15,2277.906943045864,1683.629761408379,2314.670109002438,-43.13524639922716,100.43137626375676,0.9999142782265417,0.6726019689687174,0.0005193128264335781
126,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,17/10/2025,2,4.2,0.5,,0.10064399,0.15,2277.906943045864,1679.161535752983,2315.992861949837,-43.110420545203226,100.43086879083972,0.9999143810014351,0.6722528099033711,0.000520985580865081
128,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,21/10/2025,4,4.2,0.0,,0.10064399,0.15,2251.829443838892,1721.454604957553,2323.315750763967,-42.97291434075493,100.428060216247,0.9999149506440281,0.6703187629942134,0.0005304830745601078
130,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,22/10/2025,1,4.2,0.0,,0.0994127310626206,0.15,2261.139915430271,1672.276480089083,2272.512640315796,-43.40238831785168,100.42665363386415,0.9999173342942307,0.6886731707178454,0.0005144891266560968
145,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk,not_good,23/10/2025,1,4.2,0.0,625.0,0.0994127310626206,0.15,2253.369376876533,1657.47881326588,2351.328264374004,-41.891623393846864,100.39535017327172,0.9999238154589019,0.6684329240363504,0.0006376785610411506
